"tableID","variableID","stub"
"B01001A","B01001A_006","15 to 17 years "
"B01001A","B01001A_007","18 and 19 years "
"B01001A","B01001A_008","20 to 24 years "
"B01001A","B01001A_009","25 to 29 years "
"B01001A","B01001A_010","30 to 34 years "
"B01001A","B01001A_011","35 to 44 years "
"B01001A","B01001A_012","45 to 54 years "
"B01001A","B01001A_013","55 to 64 years "
"B01001A","B01001A_014","65 to 74 years "
"B01001A","B01001A_015","75 to 84 years "
"B01001A","B01001A_016","85 years and over "
"B01001A","B01001A_017","Female:"
"B01001A","B01001A_018","Under 5 years "
"B01001A","B01001A_019","5 to 9 years "
"B01001A","B01001A_020","10 to 14 years "
"B01001A","B01001A_021","15 to 17 years "
"B01001A","B01001A_022","18 and 19 years "
"B01001A","B01001A_023","20 to 24 years "
"B01001A","B01001A_024","25 to 29 years "
"B01001A","B01001A_025","30 to 34 years "
"B01001A","B01001A_026","35 to 44 years "
"B01001A","B01001A_027","45 to 54 years "
"B01001A","B01001A_028","55 to 64 years "
"B01001A","B01001A_029","65 to 74 years "
"B01001A","B01001A_030","75 to 84 years "
"B01001A","B01001A_031","85 years and over "
"C01001A","C01001A_001","Total:"
"C01001A","C01001A_002","Male:"
"C01001A","C01001A_003","Under 18 years"
"C01001A","C01001A_004","18 to 64 years"
"C01001A","C01001A_005","65 years and over"
"C01001A","C01001A_006","Female:"
"C01001A","C01001A_007","Under 18 years"
"C01001A","C01001A_008","18 to 64 years"
"C01001A","C01001A_009","65 years and over"
"B01001B","B01001B_001","Total:"
"B01001B","B01001B_002","Male:"
"B01001B","B01001B_003","Under 5 years "
"B01001B","B01001B_004","5 to 9 years "
"B01001B","B01001B_005","10 to 14 years "
"B01001B","B01001B_006","15 to 17 years "
"B01001B","B01001B_007","18 and 19 years "
"B01001B","B01001B_008","20 to 24 years "
"B01001B","B01001B_009","25 to 29 years "
"B01001B","B01001B_010","30 to 34 years "
"B01001B","B01001B_011","35 to 44 years "
"B01001B","B01001B_012","45 to 54 years "
"B01001B","B01001B_013","55 to 64 years "
"B01001B","B01001B_014","65 to 74 years "
"B01001B","B01001B_015","75 to 84 years "
"B01001B","B01001B_016","85 years and over "
"B01001B","B01001B_017","Female:"
"B01001B","B01001B_018","Under 5 years "
"B01001B","B01001B_019","5 to 9 years "
"B01001B","B01001B_020","10 to 14 years "
"B01001B","B01001B_021","15 to 17 years "
"B01001B","B01001B_022","18 and 19 years "
"B01001B","B01001B_023","20 to 24 years "
"B01001B","B01001B_024","25 to 29 years "
"B01001B","B01001B_025","30 to 34 years "
"B01001B","B01001B_026","35 to 44 years "
"B01001B","B01001B_027","45 to 54 years "
"B01001B","B01001B_028","55 to 64 years "
"B01001B","B01001B_029","65 to 74 years "
"B01001B","B01001B_030","75 to 84 years "
"B01001B","B01001B_031","85 years and over "
"C01001B","C01001B_001","Total:"
"C01001B","C01001B_002","Male:"
"C01001B","C01001B_003","Under 18 years"
"C01001B","C01001B_004","18 to 64 years"
"C01001B","C01001B_005","65 years and over"
"C01001B","C01001B_006","Female:"
"C01001B","C01001B_007","Under 18 years"
"C01001B","C01001B_008","18 to 64 years"
"C01001B","C01001B_009","65 years and over"
"B01001C","B01001C_001","Total:"
"B01001C","B01001C_002","Male:"
"B01001C","B01001C_003","Under 5 years "
"B01001C","B01001C_004","5 to 9 years "
"B01001C","B01001C_005","10 to 14 years "
"B01001C","B01001C_006","15 to 17 years "
"B01001C","B01001C_007","18 and 19 years "
"B01001C","B01001C_008","20 to 24 years "
"B01001C","B01001C_009","25 to 29 years "
"B01001C","B01001C_010","30 to 34 years "
"B01001C","B01001C_011","35 to 44 years "
"B01001C","B01001C_012","45 to 54 years "
"B01001C","B01001C_013","55 to 64 years "
"B01001C","B01001C_014","65 to 74 years "
"B01001C","B01001C_015","75 to 84 years "
"B01001C","B01001C_016","85 years and over "
"B01001C","B01001C_017","Female:"
"B01001C","B01001C_018","Under 5 years "
"B01001C","B01001C_019","5 to 9 years "
"B01001C","B01001C_020","10 to 14 years "
"B01001C","B01001C_021","15 to 17 years "
"B01001C","B01001C_022","18 and 19 years "
"B01001C","B01001C_023","20 to 24 years "
"B01001C","B01001C_024","25 to 29 years "
"B01001C","B01001C_025","30 to 34 years "
"B01001C","B01001C_026","35 to 44 years "
"B01001C","B01001C_027","45 to 54 years "
"B01001C","B01001C_028","55 to 64 years "
"B01001C","B01001C_029","65 to 74 years "
"B01001C","B01001C_030","75 to 84 years "
"B01001C","B01001C_031","85 years and over "
"C01001C","C01001C_001","Total:"
"C01001C","C01001C_002","Male:"
"C01001C","C01001C_003","Under 18 years"
"C01001C","C01001C_004","18 to 64 years"
"C01001C","C01001C_005","65 years and over"
"C01001C","C01001C_006","Female:"
"C01001C","C01001C_007","Under 18 years"
"C01001C","C01001C_008","18 to 64 years"
"C01001C","C01001C_009","65 years and over"
"B01001D","B01001D_001","Total:"
"B01001D","B01001D_002","Male:"
"B01001D","B01001D_003","Under 5 years "
"B01001D","B01001D_004","5 to 9 years "
"B01001D","B01001D_005","10 to 14 years "
"B01001D","B01001D_006","15 to 17 years "
"B01001D","B01001D_007","18 and 19 years "
"B01001D","B01001D_008","20 to 24 years "
"B01001D","B01001D_009","25 to 29 years "
"B01001D","B01001D_010","30 to 34 years "
"B01001D","B01001D_011","35 to 44 years "
"B01001D","B01001D_012","45 to 54 years "
"B01001D","B01001D_013","55 to 64 years "
"B01001D","B01001D_014","65 to 74 years "
"B01001D","B01001D_015","75 to 84 years "
"B01001D","B01001D_016","85 years and over "
"B01001D","B01001D_017","Female:"
"B01001D","B01001D_018","Under 5 years "
"B01001D","B01001D_019","5 to 9 years "
"B01001D","B01001D_020","10 to 14 years "
"B01001D","B01001D_021","15 to 17 years "
"B01001D","B01001D_022","18 and 19 years "
"B01001D","B01001D_023","20 to 24 years "
"B01001D","B01001D_024","25 to 29 years "
"B01001D","B01001D_025","30 to 34 years "
"B01001D","B01001D_026","35 to 44 years "
"B01001D","B01001D_027","45 to 54 years "
"B01001D","B01001D_028","55 to 64 years "
"B01001D","B01001D_029","65 to 74 years "
"B01001D","B01001D_030","75 to 84 years "
"B01001D","B01001D_031","85 years and over "
"C01001D","C01001D_001","Total:"
"C01001D","C01001D_002","Male:"
"C01001D","C01001D_003","Under 18 years"
"C01001D","C01001D_004","18 to 64 years"
"C01001D","C01001D_005","65 years and over"
"C01001D","C01001D_006","Female:"
"C01001D","C01001D_007","Under 18 years"
"C01001D","C01001D_008","18 to 64 years"
"C01001D","C01001D_009","65 years and over"
"B01001E","B01001E_001","Total:"
"B01001E","B01001E_002","Male:"
"B01001E","B01001E_003","Under 5 years "
"B01001E","B01001E_004","5 to 9 years "
"B01001E","B01001E_005","10 to 14 years "
"B01001E","B01001E_006","15 to 17 years "
"B01001E","B01001E_007","18 and 19 years "
"B01001E","B01001E_008","20 to 24 years "
"B01001E","B01001E_009","25 to 29 years "
"B01001E","B01001E_010","30 to 34 years "
"B01001E","B01001E_011","35 to 44 years "
"B01001E","B01001E_012","45 to 54 years "
"B01001E","B01001E_013","55 to 64 years "
"B01001E","B01001E_014","65 to 74 years "
"B01001E","B01001E_015","75 to 84 years "
"B01001E","B01001E_016","85 years and over "
"B01001E","B01001E_017","Female:"
"B01001E","B01001E_018","Under 5 years "
"B01001E","B01001E_019","5 to 9 years "
"B01001E","B01001E_020","10 to 14 years "
"B01001E","B01001E_021","15 to 17 years "
"B01001E","B01001E_022","18 and 19 years "
"B01001E","B01001E_023","20 to 24 years "
"B01001E","B01001E_024","25 to 29 years "
"B01001E","B01001E_025","30 to 34 years "
"B01001E","B01001E_026","35 to 44 years "
"B01001E","B01001E_027","45 to 54 years "
"B01001E","B01001E_028","55 to 64 years "
"B01001E","B01001E_029","65 to 74 years "
"B01001E","B01001E_030","75 to 84 years "
"B01001E","B01001E_031","85 years and over "
"C01001E","C01001E_001","Total:"
"C01001E","C01001E_002","Male:"
"C01001E","C01001E_003","Under 18 years"
"C01001E","C01001E_004","18 to 64 years"
"C01001E","C01001E_005","65 years and over"
"C01001E","C01001E_006","Female:"
"C01001E","C01001E_007","Under 18 years"
"C01001E","C01001E_008","18 to 64 years"
"C01001E","C01001E_009","65 years and over"
"B01001F","B01001F_001","Total:"
"B01001F","B01001F_002","Male:"
"B01001F","B01001F_003","Under 5 years "
"B01001F","B01001F_004","5 to 9 years "
"B01001F","B01001F_005","10 to 14 years "
"B01001F","B01001F_006","15 to 17 years "
"B01001F","B01001F_007","18 and 19 years "
"B01001F","B01001F_008","20 to 24 years "
"B01001F","B01001F_009","25 to 29 years "
"B01001F","B01001F_010","30 to 34 years "
"B01001F","B01001F_011","35 to 44 years "
"B01001F","B01001F_012","45 to 54 years "
"B01001F","B01001F_013","55 to 64 years "
"B01001F","B01001F_014","65 to 74 years "
"B01001F","B01001F_015","75 to 84 years "
"B01001F","B01001F_016","85 years and over "
"B01001F","B01001F_017","Female:"
"B01001F","B01001F_018","Under 5 years "
"B01001F","B01001F_019","5 to 9 years "
"B01001F","B01001F_020","10 to 14 years "
"B01001F","B01001F_021","15 to 17 years "
"B01001F","B01001F_022","18 and 19 years "
"B01001F","B01001F_023","20 to 24 years "
"B01001F","B01001F_024","25 to 29 years "
"B01001F","B01001F_025","30 to 34 years "
"B01001F","B01001F_026","35 to 44 years "
"B01001F","B01001F_027","45 to 54 years "
"B01001F","B01001F_028","55 to 64 years "
"B01001F","B01001F_029","65 to 74 years "
"B01001F","B01001F_030","75 to 84 years "
"B01001F","B01001F_031","85 years and over "
"C01001F","C01001F_001","Total:"
"C01001F","C01001F_002","Male:"
"C01001F","C01001F_003","Under 18 years"
"C01001F","C01001F_004","18 to 64 years"
"C01001F","C01001F_005","65 years and over"
"C01001F","C01001F_006","Female:"
"C01001F","C01001F_007","Under 18 years"
"C01001F","C01001F_008","18 to 64 years"
"C01001F","C01001F_009","65 years and over"
"B01001G","B01001G_001","Total:"
"B01001G","B01001G_002","Male:"
"B01001G","B01001G_003","Under 5 years "
"B01001G","B01001G_004","5 to 9 years "
"B01001G","B01001G_005","10 to 14 years "
"B01001G","B01001G_006","15 to 17 years "
"B01001G","B01001G_007","18 and 19 years "
"B01001G","B01001G_008","20 to 24 years "
"B01001G","B01001G_009","25 to 29 years "
"B01001G","B01001G_010","30 to 34 years "
"B01001G","B01001G_011","35 to 44 years "
"B01001G","B01001G_012","45 to 54 years "
"B01001G","B01001G_013","55 to 64 years "
"B01001G","B01001G_014","65 to 74 years "
"B01001G","B01001G_015","75 to 84 years "
"B01001G","B01001G_016","85 years and over "
"B01001G","B01001G_017","Female:"
"B01001G","B01001G_018","Under 5 years "
"B01001G","B01001G_019","5 to 9 years "
"B01001G","B01001G_020","10 to 14 years "
"B01001G","B01001G_021","15 to 17 years "
"B01001G","B01001G_022","18 and 19 years "
"B01001G","B01001G_023","20 to 24 years "
"B01001G","B01001G_024","25 to 29 years "
"B01001G","B01001G_025","30 to 34 years "
"B01001G","B01001G_026","35 to 44 years "
"B01001G","B01001G_027","45 to 54 years "
"B01001G","B01001G_028","55 to 64 years "
"B01001G","B01001G_029","65 to 74 years "
"B01001G","B01001G_030","75 to 84 years "
"B01001G","B01001G_031","85 years and over "
"C01001G","C01001G_001","Total:"
"C01001G","C01001G_002","Male:"
"C01001G","C01001G_003","Under 18 years"
"C01001G","C01001G_004","18 to 64 years"
"C01001G","C01001G_005","65 years and over"
"C01001G","C01001G_006","Female:"
"C01001G","C01001G_007","Under 18 years"
"C01001G","C01001G_008","18 to 64 years"
"C01001G","C01001G_009","65 years and over"
"B01001H","B01001H_001","Total:"
"B01001H","B01001H_002","Male:"
"B01001H","B01001H_003","Under 5 years "
"B01001H","B01001H_004","5 to 9 years "
"B01001H","B01001H_005","10 to 14 years "
"B01001H","B01001H_006","15 to 17 years "
"B01001H","B01001H_007","18 and 19 years "
"B01001H","B01001H_008","20 to 24 years "
"B01001H","B01001H_009","25 to 29 years "
"B01001H","B01001H_010","30 to 34 years "
"B01001H","B01001H_011","35 to 44 years "
"B01001H","B01001H_012","45 to 54 years "
"B01001H","B01001H_013","55 to 64 years "
"B01001H","B01001H_014","65 to 74 years "
"B01001H","B01001H_015","75 to 84 years "
"B01001H","B01001H_016","85 years and over "
"B01001H","B01001H_017","Female:"
"B01001H","B01001H_018","Under 5 years "
"B01001H","B01001H_019","5 to 9 years "
"B01001H","B01001H_020","10 to 14 years "
"B01001H","B01001H_021","15 to 17 years "
"B01001H","B01001H_022","18 and 19 years "
"B01001H","B01001H_023","20 to 24 years "
"B01001H","B01001H_024","25 to 29 years "
"B01001H","B01001H_025","30 to 34 years "
"B01001H","B01001H_026","35 to 44 years "
"B01001H","B01001H_027","45 to 54 years "
"B01001H","B01001H_028","55 to 64 years "
"B01001H","B01001H_029","65 to 74 years "
"B01001H","B01001H_030","75 to 84 years "
"B01001H","B01001H_031","85 years and over "
"C01001H","C01001H_001","Total:"
"C01001H","C01001H_002","Male:"
"C01001H","C01001H_003","Under 18 years"
"C01001H","C01001H_004","18 to 64 years"
"C01001H","C01001H_005","65 years and over"
"C01001H","C01001H_006","Female:"
"C01001H","C01001H_007","Under 18 years"
"C01001H","C01001H_008","18 to 64 years"
"C01001H","C01001H_009","65 years and over"
"B01001I","B01001I_001","Total:"
"B01001I","B01001I_002","Male:"
"B01001I","B01001I_003","Under 5 years "
"B01001I","B01001I_004","5 to 9 years "
"B01001I","B01001I_005","10 to 14 years "
"B01001I","B01001I_006","15 to 17 years "
"B01001I","B01001I_007","18 and 19 years "
"B01001I","B01001I_008","20 to 24 years "
"B01001I","B01001I_009","25 to 29 years "
"B01001I","B01001I_010","30 to 34 years "
"B01001I","B01001I_011","35 to 44 years "
"B01001I","B01001I_012","45 to 54 years "
"B01001I","B01001I_013","55 to 64 years "
"B01001I","B01001I_014","65 to 74 years "
"B01001I","B01001I_015","75 to 84 years "
"B01001I","B01001I_016","85 years and over "
"B01001I","B01001I_017","Female:"
"B01001I","B01001I_018","Under 5 years "
"B01001I","B01001I_019","5 to 9 years "
"B01001I","B01001I_020","10 to 14 years "
"B01001I","B01001I_021","15 to 17 years "
"B01001I","B01001I_022","18 and 19 years "
"B01001I","B01001I_023","20 to 24 years "
"B01001I","B01001I_024","25 to 29 years "
"B01001I","B01001I_025","30 to 34 years "
"B01001I","B01001I_026","35 to 44 years "
"B01001I","B01001I_027","45 to 54 years "
"B01001I","B01001I_028","55 to 64 years "
"B01001I","B01001I_029","65 to 74 years "
"B01001I","B01001I_030","75 to 84 years "
"B01001I","B01001I_031","85 years and over "
"C01001I","C01001I_001","Total:"
"C01001I","C01001I_002","Male:"
"C01001I","C01001I_003","Under 18 years"
"C01001I","C01001I_004","18 to 64 years"
"C01001I","C01001I_005","65 years and over"
"C01001I","C01001I_006","Female:"
"C01001I","C01001I_007","Under 18 years"
"C01001I","C01001I_008","18 to 64 years"
"C01001I","C01001I_009","65 years and over"
"B01002","","Median age --"
"B01002","B01002_001","Total:"
"B01002","B01002_002","Male"
"B01002","B01002_003","Female"
"B01002A","","Median age --"
"B01002A","B01002A_001","Total:"
"B01002A","B01002A_002","Male"
"B01002A","B01002A_003","Female"
"B01002B","","Median age --"
"B01002B","B01002B_001","Total:"
"B01002B","B01002B_002","Male"
"B01002B","B01002B_003","Female"
"B01002C","","Median age --"
"B01002C","B01002C_001","Total:"
"B01002C","B01002C_002","Male"
"B01002C","B01002C_003","Female"
"B01002D","","Median age --"
"B01002D","B01002D_001","Total:"
"B01002D","B01002D_002","Male"
"B01002D","B01002D_003","Female"
"B01002E","","Median age --"
"B01002E","B01002E_001","Total:"
"B01002E","B01002E_002","Male"
"B01002E","B01002E_003","Female"
"B01002F","","Median age --"
"B01002F","B01002F_001","Total:"
"B01002F","B01002F_002","Male"
"B01002F","B01002F_003","Female"
"B01002G","","Median age --"
"B01002G","B01002G_001","Total:"
"B01002G","B01002G_002","Male"
"B01002G","B01002G_003","Female"
"B01002H","","Median age --"
"B01002H","B01002H_001","Total:"
"B01002H","B01002H_002","Male"
"B01002H","B01002H_003","Female"
"B01002I","","Median age --"
"B01002I","B01002I_001","Total:"
"B01002I","B01002I_002","Male"
"B01002I","B01002I_003","Female"
"B01003","B01003_001","Total"
"B02001","B02001_001","Total:"
"B02001","B02001_002","White alone"
"B02001","B02001_003","Black or African American alone"
"B02001","B02001_004","American Indian and Alaska Native alone"
"B02001","B02001_005","Asian alone"
"B02001","B02001_006","Native Hawaiian and Other Pacific Islander alone"
"B02001","B02001_007","Some other race alone"
"B02001","B02001_008","Two or more races:"
"B02001","B02001_009","Two races including Some other race"
"B02001","B02001_010","Two races excluding Some other race, and three or more races"
"B02003","B02003_001","Total:"
"B02003","B02003_002","Population of one race:"
"B02003","B02003_003","White alone"
"B02003","B02003_004","Black or African American alone"
"B02003","B02003_005","American Indian and Alaska Native alone"
"B02003","B02003_006","Asian alone"
"B02003","B02003_007","Native Hawaiian and Other Pacific Islander alone"
"B02003","B02003_008","Some other race alone"
"B02003","B02003_009","Population of two or more races:"
"B02003","B02003_010","Population of two races:"
"B02003","B02003_011","White; Black or African American"
"B02003","B02003_012","White; American Indian and Alaska Native"
"B02003","B02003_013","White; Asian"
"B02003","B02003_014","White; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_015","White; Some other race"
"B02003","B02003_016","Black or African American; American Indian and Alaska Native"
"B02003","B02003_017","Black or African American; Asian"
"B02003","B02003_018","Black or African American; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_019","Black or African American; Some other race"
"B02003","B02003_020","American Indian and Alaska Native; Asian"
"B02003","B02003_021","American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_022","American Indian and Alaska Native; Some other race"
"B02003","B02003_023","Asian; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_024","Asian; Some other race"
"B02003","B02003_025","Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_026","Population of three races:"
"B02003","B02003_027","White; Black or African American; American Indian and Alaska Native"
"B02003","B02003_028","White; Black or African American; Asian"
"B02003","B02003_029","White; Black or African American; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_030","White; Black or African American; Some other race"
"B02003","B02003_031","White; American Indian and Alaska Native; Asian"
"B02003","B02003_032","White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_033","White; American Indian and Alaska Native; Some other race"
"B02003","B02003_034","White; Asian; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_035","White; Asian; Some other race"
"B02003","B02003_036","White; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_037","Black or African American; American Indian and Alaska Native; Asian"
"B02003","B02003_038","Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_039","Black or African American; American Indian and Alaska Native; Some other race"
"B02003","B02003_040","Black or African American; Asian; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_041","Black or African American; Asian; Some other race"
"B02003","B02003_042","Black or African American; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_043","American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_044","American Indian and Alaska Native; Asian; Some other race"
"B02003","B02003_045","American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_046","Asian; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_047","Population of four races:"
"B02003","B02003_048","White; Black or African American; American Indian and Alaska Native; Asian"
"B02003","B02003_049","White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_050","White; Black or African American; American Indian and Alaska Native; Some other race"
"B02003","B02003_051","White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_052","White; Black or African American; Asian; Some other race"
"B02003","B02003_053","White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_054","White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_055","White; American Indian and Alaska Native; Asian; Some other race"
"B02003","B02003_056","White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_057","White; Asian; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_058","Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_059","Black or African American; American Indian and Alaska Native; Asian; Some other race"
"B02003","B02003_060","Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_061","Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_062","American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_063","Population of five races:"
"B02003","B02003_064","White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"B02003","B02003_065","White; Black or African American; American Indian and Alaska Native; Asian; Some other race"
"B02003","B02003_066","White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_067","White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_068","White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_069","Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race"
"B02003","B02003_070","Population of six races:"
"B02003","B02003_071","White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race"
"C02003","C02003_001","Total:"
"C02003","C02003_002","Population of one race:"
"C02003","C02003_003","White"
"C02003","C02003_004","Black or African American"
"C02003","C02003_005","American Indian and Alaska Native"
"C02003","C02003_006","Asian alone"
"C02003","C02003_007","Native Hawaiian and Other Pacific Islander"
"C02003","C02003_008","Some other race"
"C02003","C02003_009","Population of two or more races:"
"C02003","C02003_010","Two races including Some other race"
"C02003","C02003_011","Two races excluding Some other race, and three or more races"
"C02003","C02003_012","Population of two races:"
"C02003","C02003_013","White; Black or African American"
"C02003","C02003_014","White; American Indian and Alaska Native"
"C02003","C02003_015","White; Asian"
"C02003","C02003_016","Black or African American; American Indian and Alaska Native"
"C02003","C02003_017","All other two race combinations"
"C02003","C02003_018","Population of three races"
"C02003","C02003_019","Population of four or more races"
"B02008","B02008_001","Total:"
"B02009","B02009_001","Total:"
"B02010","B02010_001","Total:"
"B02011","B02011_001","Total:"
"B02012","B02012_001","Total:"
"B02013","B02013_001","Total:"
"B02014","B02014_001","Total:"
"B02014","B02014_002","American Indian tribes, specified:"
"B02014","B02014_003","Apache"
"B02014","B02014_004","Arapaho"
"B02014","B02014_005","Blackfeet       "
"B02014","B02014_006","Canadian and French American Indian"
"B02014","B02014_007","Central American Indian"
"B02014","B02014_008","Cherokee"
"B02014","B02014_009","Cheyenne"
"B02014","B02014_010","Chickasaw"
"B02014","B02014_011","Chippewa"
"B02014","B02014_012","Choctaw"
"B02014","B02014_013","Colville"
"B02014","B02014_014","Comanche"
"B02014","B02014_015","Cree"
"B02014","B02014_016","Creek"
"B02014","B02014_017","Crow"
"B02014","B02014_018","Delaware     "
"B02014","B02014_019","Hopi"
"B02014","B02014_020","Houma"
"B02014","B02014_021","Iroquois"
"B02014","B02014_022","Kiowa"
"B02014","B02014_023","Lumbee      "
"B02014","B02014_024","Menominee"
"B02014","B02014_025","Mexican American Indian"
"B02014","B02014_026","Navajo"
"B02014","B02014_027","Osage"
"B02014","B02014_028","Ottawa"
"B02014","B02014_029","Paiute"
"B02014","B02014_030","Pima"
"B02014","B02014_031","Potawatomi"
"B02014","B02014_032","Pueblo"
"B02014","B02014_033","Puget Sound Salish"
"B02014","B02014_034","Seminole"
"B02014","B02014_035","Shoshone"
"B02014","B02014_036","Sioux"
"B02014","B02014_037","South American Indian"
"B02014","B02014_038","Spanish American Indian"
"B02014","B02014_039","Tohono O'Odham"
"B02014","B02014_040","Ute"
"B02014","B02014_041","Yakama"
"B02014","B02014_042","Yaqui"
"B02014","B02014_043","Yuman"
"B02014","B02014_044","All other American Indian tribes (with only one tribe reported)"
"B02014","B02014_045","American Indian tribes, not specified"
"B02014","B02014_046","Alaska Native tribes, specified:"
"B02014","B02014_047","Alaskan Athabascan"
"B02014","B02014_048","Aleut"
"B02014","B02014_049","Inupiat"
"B02014","B02014_050","Tlingit-Haida"
"B02014","B02014_051","Tsimshian"
"B02014","B02014_052","Yup'ik"
"B02014","B02014_053","Alaska Native tribes, not specified"
"B02014","B02014_054","American Indian or Alaska Native tribes, not specified"
"B02014","B02014_055","Two or More American Indian or Alaska Native Tribes"
"C02014","C02014_001","Total:"
"C02014","C02014_002","American Indian tribes, specified:"
"C02014","C02014_003","Cherokee"
"C02014","C02014_004","Chippewa "
"C02014","C02014_005","Navajo"
"C02014","C02014_006","Sioux "
"C02014","C02014_007","All specified other American Indian tribes "
"C02014","C02014_008","Alaska Native tribes, specified"
"C02014","C02014_009","American Indian or Alaska Native tribe, not specified"
"B02015","B02015_001","Total:"
"B02015","B02015_002","Asian Indian "
"B02015","B02015_003","Bangladeshi "
"B02015","B02015_004","Bhutanese"
"B02015","B02015_005","Burmese"
"B02015","B02015_006","Cambodian "
"B02015","B02015_007","Chinese, except Taiwanese "
"B02015","B02015_008","Filipino "
"B02015","B02015_009","Hmong "
"B02015","B02015_010","Indonesian"
"B02015","B02015_011","Japanese "
"B02015","B02015_012","Korean "
"B02015","B02015_013","Laotian "
"B02015","B02015_014","Malaysian "
"B02015","B02015_015","Mongolian"
"B02015","B02015_016","Nepalese"
"B02015","B02015_017","Okinawan"
